MarketID,ProductID,PlatformID,ShopID,Price,Quantity,ReviewCount,StarRating,Storage,CrawlDate
MK254,P002,PL02,S017,21910000,0,0,0.0,256GB,2024-02-21
MK255,P002,PL02,S011,26990000,167,4,4.0,256GB,2024-02-21
MK256,P002,PL02,S017,22020000,0,0,0.0,256GB,2024-02-21
MK257,P002,PL02,S014,21990000,0,0,0.0,256GB,2024-02-21
MK258,P002,PL02,S013,25990000,0,0,0.0,256GB,2024-02-21
MK259,P002,PL02,S010,27190000,201,43,4.8,256GB,2024-03-08
MK260,P002,PL02,S047,22467000,0,0,0.0,256GB,2024-03-08
MK261,P002,PL02,S017,22020000,0,0,0.0,256GB,2024-03-08
MK262,P002,PL02,S017,21910000,0,0,0.0,256GB,2024-03-08
MK263,P002,PL02,S049,33990000,0,0,0.0,512GB,2024-03-08
MK264,P002,PL02,S013,26391000,0,0,0.0,256GB,2024-03-08
MK265,P002,PL02,S014,31990000,0,0,0.0,256GB,2024-03-08
MK266,P002,PL02,S047,33290730,17,1,1.0,256GB,2024-03-08
MK267,P002,PL02,S010,27190000,201,43,4.8,256GB,2024-03-23
MK268,P002,PL02,S050,22467000,0,0,0.0,256GB,2024-03-23
MK269,P002,PL02,S017,22467000,0,0,0.0,256GB,2024-03-23
MK270,P002,PL02,S017,28791180,0,0,0.0,256GB,2024-03-23
MK271,P002,PL02,S048,23589000,0,0,0.0,256GB,2024-03-23
MK272,P002,PL02,S014,31990000,0,0,0.0,256GB,2024-03-23
MK273,P002,PL02,S050,33290730,17,1,1.0,256GB,2024-03-23
MK274,P002,PL02,S013,26391000,0,0,0.0,256GB,2024-03-23
MK275,P002,PL02,S049,33990000,0,0,0.0,512GB,2024-03-23
MK276,P002,PL02,S050,22467000,0,0,0.0,256GB,2024-03-30
MK277,P002,PL02,S010,27190000,203,43,4.8,256GB,2024-03-30
MK278,P002,PL02,S014,31990000,0,0,0.0,256GB,2024-03-30
MK279,P002,PL02,S050,22467000,0,0,0.0,256GB,2024-04-07
MK280,P002,PL02,S010,30230000,203,43,4.8,256GB,2024-04-07
MK281,P002,PL02,S017,22467000,0,0,0.0,256GB,2024-04-07
MK282,P002,PL02,S013,26091000,0,0,0.0,256GB,2024-04-07
MK283,P002,PL02,S014,31990000,0,0,0.0,256GB,2024-04-07
MK284,P002,PL02,S050,33290730,17,1,1.0,256GB,2024-04-07
MK285,P002,PL02,S017,27831300,0,0,0.0,256GB,2024-04-07
MK286,P002,PL02,S050,28791180,0,0,0.0,256GB,2024-04-17
MK287,P002,PL02,S017,28791000,0,0,0.0,256GB,2024-04-17
MK288,P002,PL02,S010,30230000,203,43,4.8,256GB,2024-04-17
MK289,P002,PL02,S017,28791000,0,0,0.0,256GB,2024-04-17
MK290,P002,PL02,S055,28990000,0,0,0.0,256GB,2024-04-17
MK291,P002,PL02,S014,31990000,0,0,0.0,256GB,2024-04-17
MK292,P002,PL02,S008,19100000,674,140,4.9,256GB,2024-01-27
MK293,P002,PL02,S008,19100000,674,140,4.9,256GB,2024-02-04
MK294,P002,PL02,S008,19100000,674,140,4.9,256GB,2024-02-11
MK295,P002,PL02,S008,19100000,674,140,4.9,256GB,2024-02-21
MK296,P002,PL02,S008,19100000,674,140,4.9,256GB,2024-03-08
MK297,P002,PL02,S008,19100000,674,140,4.9,256GB,2024-03-23
